symbol,stock_name,industry,sub_industry,benchmark
DPABHUSHAN,,,,
DPL,Dhunseri Petrochem Limited,,,
DPSCLTD,DPSC Limited,,,
DQE,DQ Entertainment (International) Limited,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
DREDGECORP,Dredging Corporation of India Limited,SERVICES,,
DRL,,,,
DRREDDY,Dr. Reddy's Laboratories Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
DSSL,Dynacons Systems & Solutions Limited,,,
DTIL,Dhunseri Tea & Industries Limited,,,
DUCON,Ducon Infratechnologies Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
DWARKESH,Dwarikesh Sugar Industries Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
DYNAMATECH,Dynamatic Technologies Limited,,PUMP,
DYNPRO,Dynemic Products Limited,,,
E2E,,,,
EASTSILK,Eastern Silk Industries Limited,,,
EASUNREYRL,Easun Reyrolle Limited,,,
ECEIND,ECE Industries Limited,,,
ECLERX,eClerx Services Limited,IT,COMPUTERS - SOFTWARE MEDIUM & SMALL,NIFTY IT
ECLFINANCE,,,,
EDELWEISS,Edelweiss Financial Services Limited,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
EDL,Empee Distilleries Limited,,,
EDUCOMP,Educomp Solutions Limited,,,
EHFLNCD,,,,
EICHERMOT,Eicher Motors Limited,AUTOMOBILE,AUTO - LCVS & HCVS,NIFTY AUTO
EIDPARRY,EID Parry India Limited,FERTILISERS & PESTICIDES,SUGAR,
EIFFL,,,,
EIHAHOTELS,EIH Associated Hotels Limited,SERVICES,HOTELS,
EIHOTEL,EIH Limited,SERVICES,HOTELS,
EIMCOELECO,Eimco Elecon (India) Limited,,,
EKC,Everest Kanto Cylinder Limited,,,
ELAND,E-Land Apparel Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
ELECON,Elecon Engineering Company Limited,INDUSTRIAL MANUFACTURING,,
ELECTCAST,Electrosteel Castings Limited,METALS,,NIFTY METAL
ELECTHERM,Electrotherm (India) Limited,,,
ELECTROSL,,,,
ELGIEQUIP,Elgi Equipments Limited,INDUSTRIAL MANUFACTURING,COMPRESSORS,
ELGIRUBCO,Elgi Rubber Company Limited,,,
EMAMIINFRA,Emami Infrastructure Limited,CONSTRUCTION,,NIFTY INFRA
EMAMILTD,Emami Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
EMCO,Emco Limited,,,
EMKAY,Emkay Global Financial Services Limited,,,
EMMBI,Emmbi Industries Limited,,,
EMOFSR1RDP,,,,
EMOFSR1RGG,,,,
ENDURANCE,Endurance Technologies Limited,AUTOMOBILE,AUTO - 2 & 3 WHEELERS,NIFTY AUTO
ENERGYDEV,Energy Development Company Limited,,,
ENGINERSIN,Engineers India Limited,CONSTRUCTION,INFRASTRUCTURE - GENERAL,NIFTY INFRA
ENIL,Entertainment Network (India) Limited,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
EON,Eon Electric Limited,,,
EQ30,,,,
EQUITAS,Equitas Holdings Limited,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
ERFLNCDI,,,,
ERIS,Eris Lifesciences Limited,PHARMA,,NIFTY PHARMA
EROSMEDIA,Eros International Media Limited,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
ESABINDIA,Esab India Limited,,,
ESCORTS,Escorts Limited,AUTOMOBILE,AUTO - TRACTORS,NIFTY AUTO
ESSARSHPNG,Essar Shipping Limited,SERVICES,SHIPPING,
ESSDEE,Ess Dee Aluminium Limited,,,
ESSELPACK,Essel Propack Limited,INDUSTRIAL MANUFACTURING,PACKAGING,
ESTER,Ester Industries Limited,,,
EUROCERA,Euro Ceramics Limited,,,
EUROTEXIND,Eurotex Industries and Exports Limited,,,
EVEREADY,Eveready Industries India Limited,CONSUMER GOODS,DRY CELLS,NIFTY CONSUMPTION
EVERESTIND,Everest Industries Limited,,,
EXCEL,Excel Realty N Infra Limited,CONSTRUCTION,,NIFTY INFRA
EXCELCROP,Excel Crop Care Limited,,,
EXCELINDUS,Excel Industries Limited,,,
EXIDEIND,Exide Industries Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
FACT,Fertilizers and Chemicals Travancore Limited,FERTILISERS & PESTICIDES,FERTILISERS,
FAIRCHEM,Fairchem Speciality Limited,,,
FCL,Fineotex Chemical Limited,CHEMICALS,CHEMICALS,
FCONSUMER,Future Consumer Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
FCSSOFT,,,,
FDC,FDC Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
FEDDERELEC,Fedders Electric and Engineering Limited,INDUSTRIAL MANUFACTURING,,
FEDERALBNK,The Federal Bank  Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
FEL,Future Enterprises Limited,,,
FELDVR,Future Enterprises Limited,,,
FIEMIND,Fiem Industries Limited,,,
FILATEX,Filatex India Limited,,,
FINCABLES,Finolex Cables Limited,INDUSTRIAL MANUFACTURING,CABLES - TELEPHONE,
FINEORG,,,,
FINPIPE,Finolex Industries Limited,INDUSTRIAL MANUFACTURING,PETROCHEMICALS,
FIVECORE,,,,
FLEXITUFF,Flexituff International Limited,,,
FLFL,Future Lifestyle Fashions Limited,CONSUMER GOODS,RETAIL,NIFTY FMCG
FMGOETZE,Federal-Mogul Goetze (India) Limited.,,,
FMNL,Future Market Networks Limited,,,
FORTIS,Fortis Healthcare Limited,HEALTHCARE SERVICES,HOSPITALS & MEDICAL SERVICES,NIFTY HEALTHCARE
FORTUNEFIN,Fortune Financial Services (India) Limited,,,
FOSECOIND,Foseco India Limited,,,
FOURTHDIM,,,,
FRETAIL,Future Retail Limited,CONSUMER GOODS,RETAIL,NIFTY FMCG
FSC,,,,
FSL,Firstsource Solutions Limited,IT,COMPUTERS - SOFTWARE MEDIUM & SMALL,NIFTY IT
GABRIEL,Gabriel India Limited,,,
GAEL,Gujarat Ambuja Exports Limited,,,
GAIL,GAIL (India) Limited,ENERGY,OIL DRILLING AND EXPLORATION,NIFTY ENERGY
GAL,Gyscoal Alloys Limited,,,
GALAXYSURF,,,,
GALLANTT,,,,
GALLISPAT,,,,
GAMMNINFRA,Gammon Infrastructure Projects Limited,CONSTRUCTION,,NIFTY INFRA
GANDHITUBE,Gandhi Special Tubes Limited,,,
GANECOS,Ganesha Ecosphere Limited,,,
GANESHHOUC,Ganesh Housing Corporation Limited,,,
GANGAFORGE,,,,
GANGESSECU,Ganges Securities Limited,,,
GANGOTRI,Gangotri Textiles Limited,TEXTILES,TEXTILES - SPINNING - COTTON BLENDED,
GARDENSILK,Garden Silk Mills Limited,,,
GARWALLROP,Garware  Wall Ropes Limited,,,
GATI,GATI Limited,SERVICES,COURIERS,
GAYAHWS,,,,
GAYAPROJ,Gayatri Projects Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
GDL,Gateway Distriparks Limited,SERVICES,MISCELLANEOUS,
GEECEE,GeeCee Ventures Limited,,,
GEMINI,Gemini Communication Limited,,,
GENESYS,Genesys International Corporation Limited,,,
GENUSPAPER,Genus Paper & Boards Limited,,,
GENUSPOWER,Genus Power Infrastructures Limited,INDUSTRIAL MANUFACTURING,ELECTRIC EQUIPMENT,
GEOJITFSL,Geojit Financial Services Limited,,,
GEPIL,GE Power India Limited,INDUSTRIAL MANUFACTURING,POWER - TRANSMISSION & EQUIPMENT,
GESHIP,The Great Eastern Shipping Company Limited,SERVICES,SHIPPING,
GET&D,GE T&D India Limited,INDUSTRIAL MANUFACTURING,,
GHCL,GHCL Limited,CHEMICALS,CHEMICALS,
GICHSGFIN,GIC Housing Finance Limited,FINANCIAL SERVICES,FINANCE - HOUSING,NIFTY BANK
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
GILLANDERS,Gillanders Arbuthnot & Company Limited,,,
GILLETTE,Gillette India Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
GINNIFILA,Ginni Filaments Limited,,,
GIPCL,Gujarat Industries Power Company Limited,,,
GIRIRAJ,,,,
GIRRESORTS,,,,
GITANJALI,Gitanjali Gems Limited,,,
GKWLIMITED,GKW Limited,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
GLENMARK,Glenmark Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
GLOBALVECT,Global Vectra Helicorp Limited,,,
GLOBOFFS,Global Offshore Services Limited,,,
GLOBUSSPR,Globus Spirits Limited,,,
GMBREW,GM Breweries Limited,,,
GMDCLTD,Gujarat Mineral Development Corporation Limited,METALS,MINING & MINERALS,NIFTY METAL
GMMPFAUDLR,,,,
GMRINFRA,GMR Infrastructure Limited,CONSTRUCTION,INFRASTRUCTURE - GENERAL,NIFTY INFRA
GNA,GNA Axles Limited,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,CHEMICALS,FERTILISERS,
GOACARBON,Goa Carbon Limited,,,
GOCLCORP,GOCL Corporation Limited,,,
GODFRYPHLP,Godfrey Phillips India Limited,CONSUMER GOODS,CIGARETTES,NIFTY CONSUMPTION
GODREJAGRO,Godrej Agrovet Ltd.,CONSUMER GOODS,,NIFTY CONSUMPTION
GODREJCP,Godrej Consumer Products Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
GODREJIND,Godrej Industries Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
GODREJPROP,Godrej Properties Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,NIFTY REALTY
GOENKA,Goenka Diamond and Jewels Limited,,,
GOKEX,Gokaldas Exports Limited,,,
GOKUL,Gokul Refoils and Solvent Limited,,,
GOKULAGRO,Gokul Agro Resources Limited,,,
GOLDBEES,,,,
GOLDENTOBC,,,,
GOLDIAM,Goldiam International Limited,,,
GOLDINFRA,Goldstone Infratech Limited,CONSTRUCTION,,NIFTY INFRA
GOLDSHARE,,,,
GOLDTECH,Goldstone Technologies Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
GOODLUCK,Goodluck India Limited,,,
GPIL,Godawari Power And Ispat limited,,,
GPPL,Gujarat Pipavav Port Limited,SERVICES,SHIPPING,
GPTINFRA,GPT Infraprojects Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,NIFTY REALTY
GRANULES,Granules India Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
GRAPHITE,Graphite India Limited,INDUSTRIAL MANUFACTURING,,
GRASIM,Grasim Industries Limited,CEMENT & CEMENT PRODUCTS,DIVERSIFIED,
GRAVITA,Gravita India Limited,,,
GREAVESCOT,Greaves Cotton Limited,INDUSTRIAL MANUFACTURING,ENGINES,
GREENLAM,Greenlam Industries Limited,,,
GREENPLY,Greenply Industries Limited,CONSUMER GOODS,MISCELLANEOUS,NIFTY CONSUMPTION
GREENPOWER,Orient Green Power Company Limited,,,
GRINDWELL,Grindwell Norton Limited,INDUSTRIAL MANUFACTURING,ABRASIVES,
GROBTEA,The Grob Tea Company Limited,,,
GRPLTD,GRP Limited,,,
GRUH,Gruh Finance Limited,FINANCIAL SERVICES,FINANCE - HOUSING,NIFTY BANK
GSCLCEMENT,Gujarat Sidhee Cement Limited,,,
GSFC,Gujarat State Fertilizers & Chemicals Limited,FERTILISERS & PESTICIDES,FERTILISERS,
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
GSPL,Gujarat State Petronet Limited,ENERGY,OIL DRILLING AND EXPLORATION,NIFTY ENERGY
GSS,GSS Infotech Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
GTL,GTL Limited,,,
GTLINFRA,GTL Infrastructure Limited,CONSTRUCTION,,NIFTY INFRA
GTNIND,GTN Industries Limited,,,
GTNTEX,GTN Textiles Limited,TEXTILES,TEXTILES - GENERAL,
GTPL,GTPL Hathway Limited,,,
GUFICBIO,Gufic Biosciences Limited,,,
GUJALKALI,Gujarat Alkalies and Chemicals Limited,CHEMICALS,CHEMICALS,
GUJAPOLLO,Gujarat Apollo Industries Limited,,,
GUJFLUORO,Gujarat Fluorochemicals Limited,INDUSTRIAL MANUFACTURING,CHEMICALS,
GUJGASLTD,Gujarat Gas Limited,ENERGY,OIL DRILLING AND EXPLORATION,NIFTY ENERGY
GULFOILLUB,Gulf Oil Lubricants India Limited,ENERGY,LUBRICANTS,NIFTY ENERGY
GULFPETRO,GP Petroleums Limited,,,
GULPOLY,Gulshan Polyols Limited,,,
GVKPIL,GVK Power & Infrastructure Limited,CONSTRUCTION,,NIFTY INFRA
H1190M36RG,,,,
HAL,,,,
HANUNG,Hanung Toys and Textiles Limited,TEXTILES,TEXTILES - GENERAL,
HARITASEAT,Harita Seating Systems Limited,,,
HARRMALAYA,Harrisons  Malayalam Limited,,,
HATHWAY,Hathway Cable & Datacom Limited,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
HATSUN,Hatsun Agro Product Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
HAVELLS,Havells India Limited,CONSUMER GOODS,ELECTRIC EQUIPMENT,NIFTY CONSUMPTION
HAVISHA,,,,
HBLPOWER,HBL Power Systems Limited,,,
HCC,Hindustan Construction Company Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
HCG,Healthcare Global Enterprises Limited,HEALTHCARE SERVICES,HOSPITALS & MEDICAL SERVICES,NIFTY HEALTHCARE
HCL-INSYS,HCL Infosystems Limited,IT,COMPUTERS - HARDWARE,NIFTY IT
HCLTECH,HCL Technologies Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
HDFC,Housing Development Finance Corporation Limited,FINANCIAL SERVICES,FINANCE - HOUSING,NIFTY BANK
HDFCBANK,HDFC Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
HDFCLIFE,,,,
HDFCMFGETF,,,,
HDFCNIFETF,,,,
HDFCSENETF,,,,
HDIL,Housing Development and Infrastructure Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,NIFTY REALTY
HEG,HEG Limited,INDUSTRIAL MANUFACTURING,,
HEIDELBERG,HeidelbergCement India Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
HERCULES,Hercules Hoists Limited,,,
HERITGFOOD,Heritage Foods Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
HEROMOTOCO,Hero MotoCorp Limited,AUTOMOBILE,AUTO - 2 & 3 WHEELERS,NIFTY AUTO
HESTERBIO,Hester Biosciences Limited,,,
HEXATRADEX,Hexa Tradex Limited,,,
HEXAWARE,Hexaware Technologies Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
HFCL,Himachal Futuristic Communications Limited,TELECOM,TELECOMMUNICATIONS - EQUIPMENT,
HGINFRA,,,,
HGS,Hinduja Global Solutions Limited,,,
HHOF1140RG,,,,
HIGHGROUND,High Ground Enterprise Limited,,,
HIKAL,Hikal Limited,,,
HIL,HIL Limited,,,
HILTON,Hilton Metal Forging Limited,METALS,,NIFTY METAL
HIMATSEIDE,Himatsingka Seide Limited,TEXTILES,TEXTILES - SYNTHETIC & SILK,
HINDALCO,Hindalco Industries Limited,METALS,ALUMINIUM,NIFTY METAL
HINDCOMPOS,Hindustan Composites Limited,,,
HINDCOPPER,Hindustan Copper Limited,METALS,METALS - NON FERROUS,NIFTY METAL
HINDMOTORS,Hindustan Motors Limited,,,
HINDNATGLS,Hindusthan National Glass & Industries Limited,,,
HINDOILEXP,Hindustan Oil Exploration Company Limited,,,
HINDPETRO,Hindustan Petroleum Corporation Limited,ENERGY,REFINERIES,NIFTY ENERGY
HINDUJAVEN,Hinduja Ventures Limited,,,
HINDUNILVR,Hindustan Unilever Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
HINDZINC,Hindustan Zinc Limited,METALS,METALS - NON FERROUS,NIFTY METAL
HIRECT,Hind Rectifiers Limited,,,
HISARMETAL,Hisar Metal Industries Limited,METALS,,NIFTY METAL
HITECH,,,,
HITECHCORP,Hitech Corporation Limited,,,
HITECHGEAR,The Hi-Tech Gears Limited,,,
HMT,HMT Limited,,,
HMVL,Hindustan Media Ventures Limited,,,
HNGSNGBEES,,,,
HONAUT,Honeywell Automation India Limited,INDUSTRIAL MANUFACTURING,TELECOMMUNICATIONS - EQUIPMENT,
HONDAPOWER,Honda Siel Power Products Limited,,,
HOTELEELA,Hotel Leela Venture Limited,SERVICES,HOTELS,
HOVS,HOV Services Limited,,,
HPL,HPL Electric & Power Limited,,,
HSCL,Himadri Speciality Chemical Limited,CHEMICALS,,
HSIL,HSIL Limited,CONSUMER GOODS,CERAMICS & GRANITE,NIFTY CONSUMPTION
HTMEDIA,HT Media Limited,,,
HUBTOWN,Hubtown Limited,,,
HUDCO,Housing & Urban Development Corporation Limited,FINANCIAL SERVICES,FINANCE - HOUSING,NIFTY BANK
IBREALEST,Indiabulls Real Estate Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,NIFTY REALTY
IBULHSGFIN,Indiabulls Housing Finance Limited,FINANCIAL SERVICES,FINANCE - HOUSING,NIFTY BANK
IBULISL,,,,
IBVENTURES,Indiabulls Ventures Limited,FINANCIAL SERVICES,FINANCE - INVESTMENTS,NIFTY BANK
ICEMAKE,,,,
ICICI500,,,,
ICICIB22,,,,
ICICIBANK,ICICI Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
ICICIGI,ICICI Lombard General Insurance Company Limited,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
ICICIGOLD,,,,
ICICILOVOL,,,,
ICICIMCAP,,,,
ICICINF100,,,,
ICICINIFTY,,,,
ICICINV20,,,,
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
ICICISENSX,,,,
ICIL,Indo Count Industries Limited,TEXTILES,TEXTILES - SPINNING - COTTON BLENDED,
ICRA,ICRA Limited,FINANCIAL SERVICES,MISCELLANEOUS,NIFTY BANK
ICSA,ICSA (India) Limited,,,
IDBI,IDBI Bank Limited,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
IDBIGOLD,,,,
IDEA,Idea Cellular Limited,TELECOM,TELECOMMUNICATIONS - SERVICE,
IDFC,IDFC Limited,FINANCIAL SERVICES,FINANCE - TERM LENDING INSTITUTIONS,NIFTY BANK
IDFCBANK,IDFC Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
IDFNIFTYET,,,,
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES,,NIFTY BANK
IFBAGRO,IFB Agro Industries Limited,,,
IFBIND,IFB Industries Limited,CONSUMER GOODS,,NIFTY CONSUMPTION
IFCI,IFCI Limited,FINANCIAL SERVICES,FINANCE - TERM LENDING INSTITUTIONS,NIFTY BANK
IFGLEXPOR,,,,
IGARASHI,Igarashi Motors India Limited,,,
IGL,Indraprastha Gas Limited,ENERGY,OIL DRILLING AND EXPLORATION,NIFTY ENERGY
IGPL,IG Petrochemicals Limited,CHEMICALS,CHEMICALS,
IIFCL,,,,
IIFL,IIFL Holdings Limited,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
IIFLFIN,,,,
IIHFL,,,,
IL&FSENGG,IL&FS Engineering and Construction Company Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
IL&FSTRANS,IL&FS Transportation Networks Limited,CONSTRUCTION,,NIFTY INFRA
IMFA,Indian Metals & Ferro Alloys Limited,METALS,,NIFTY METAL
IMPAL,India Motor Parts and Accessories Limited,,,
IMPEXFERRO,,,,
INDBANK,Indbank Merchant Banking Services Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
INDHOTEL,The Indian Hotels Company Limited,SERVICES,HOTELS,
INDIACEM,The India Cements Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
INDIAGLYCO,India Glycols Limited,,,
INDIANB,Indian Bank,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
INDIANCARD,Indian Card Clothing Company Limited,INDUSTRIAL MANUFACTURING,TEXTILES - MACHINERY,
INDIANHUME,Indian Hume Pipe Company Limited,,,
INDIGO,InterGlobe Aviation Limited,SERVICES,TRANSPORT & LOGISTICS,
INDIGRID,,,,
INDLMETER,IMP Powers Limited,,,
INDNIPPON,India Nippon Electricals Limited,,,
INDOCO,Indoco Remedies Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
INDORAMA,Indo Rama Synthetics (India) Limited,,,
INDOSOLAR,Indosolar Limited,,,
INDOSTAR,,,,
INDOTECH,Indo Tech Transformers Limited,,,
INDOTHAI,Indo Thai Securities Limited,,,
INDOWIND,Indowind Energy Limited,,,
INDRAMEDCO,Indraprastha Medical Corporation Limited,,,
INDSWFTLAB,Ind-Swift Laboratories Limited,,,
INDSWFTLTD,Ind-Swift Limited,,,
INDTERRAIN,Indian Terrain Fashions Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
INDUSINDBK,IndusInd Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
INEOSSTYRO,INEOS Styrolution India Limited,CHEMICALS,CHEMICALS,
INFIBEAM,Infibeam Incorporation Limited,IT,MISCELLANEOUS,NIFTY IT
INFINITE,Infinite Computer Solutions (India) Limited,IT,,NIFTY IT
INFOBEAN,,,,
INFRABEES,,,,
INFRATEL,Bharti Infratel Limited,TELECOM,TELECOMMUNICATIONS - EQUIPMENT,
INFY,Infosys Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
INGERRAND,Ingersoll Rand (India) Limited,INDUSTRIAL MANUFACTURING,COMPRESSORS,
INNOVANA,,,,
INNOVATIVE,,,,
INOXLEISUR,INOX Leisure Limited,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
INOXWIND,Inox Wind Limited,INDUSTRIAL MANUFACTURING,POWER - GENERATION & DISTRIBUTION,
INSECTICID,Insecticides (India) Limited,,,
INTELLECT,Intellect Design Arena Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
INTENTECH,Intense Technologies Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
INVENTURE,Inventure Growth & Securities Limited,,,
IOB,Indian Overseas Bank,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
IOC,Indian Oil Corporation Limited,ENERGY,REFINERIES,NIFTY ENERGY
IOLCP,IOL Chemicals and Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
IPAPPM,International Paper APPM Limited,,,
IPCALAB,IPCA Laboratories Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
IRB,IRB Infrastructure Developers Limited,CONSTRUCTION,INFRASTRUCTURE - GENERAL,NIFTY INFRA
IRBINVIT,,,,
IRFC,,,,
ISEC,,,,
ISFT,Intrasoft Technologies Limited,,RETAIL,
ISMTLTD,ISMT Limited,,,
ITC,ITC Limited,CONSUMER GOODS,CIGARETTES,NIFTY CONSUMPTION
ITDC,India Tourism Development Corporation Limited,SERVICES,,
ITDCEM,ITD Cementation India Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
ITI,ITI Limited,TELECOM,,
IVC,IL&FS Investment Managers Limited,,,
IVP,IVP Limited,,,
IVRCLINFRA,IVRCL Limited,,,
IVZINGOLD,,,,
IVZINNIFTY,,,,
IZMO,IZMO Limited,,,
J&KBANK,The Jammu & Kashmir Bank Limited,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
JAGRAN,Jagran Prakashan Limited,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
JAIBALAJI,Jai Balaji Industries Limited,,,
JAICORPLTD,Jai Corp Limited,INDUSTRIAL MANUFACTURING,STEEL - GP & GC SHEETS,
JAKHARIA,,,,
JAMNAAUTO,Jamna Auto Industries Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
JASH,,,,
JAYAGROGN,Jayant Agro Organics Limited,,,
JAYBARMARU,Jay Bharat Maruti Limited,,,
JAYNECOIND,Jayaswal Neco Industries Limited,,,
JAYSREETEA,Jayshree Tea & Industries Limited,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
JBFIND,JBF Industries Limited,TEXTILES,TEXTILES - MANMADE,
JBMA,JBM Auto Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
JCHAC,Johnson Controls -Hitachi Air Conditioning India Limited,CONSUMER GOODS,CONSUMER GOODS - WHITE GOODS,NIFTY CONSUMPTION
JETAIRWAYS,Jet Airways (India) Limited,SERVICES,TRANSPORT & LOGISTICS,
JHS,JHS Svendgaard Laboratories Limited,,,
JINDALPHOT,Jindal Photo Limited,,,
JINDALPOLY,Jindal Poly Films Limited,INDUSTRIAL MANUFACTURING,PACKAGING,
JINDALSAW,Jindal Saw Limited,METALS,STEEL - TUBES & PIPES,NIFTY METAL
JINDALSTEL,Jindal Steel & Power Limited,METALS,STEEL - SPONGE IRON,NIFTY METAL
JINDCOT,Jindal Cotex Limited,,,
JINDRILL,Jindal Drilling And Industries Limited,,,
JINDWORLD,Jindal Worldwide Limited,,,
JISLDVREQS,Jain Irrigation Systems Limited,,,
JISLJALEQS,Jain Irrigation Systems Limited,INDUSTRIAL MANUFACTURING,PLASTICS,
JITFINFRA,JITF Infralogistics Limited,SERVICES,TRANSPORT & LOGISTICS,
JKCEMENT,JK Cement Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
JKIL,J.Kumar Infraprojects Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
JKLAKSHMI,JK Lakshmi Cement Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
JKPAPER,JK Paper Limited,,,
JKTYRE,JK Tyre & Industries Limited,AUTOMOBILE,TYRES,NIFTY AUTO
JMA,Jullundur Motor Agency (Delhi) Limited,,,
JMCPROJECT,JMC Projects (India)  Limited,,,
JMFINANCIL,JM Financial Limited,FINANCIAL SERVICES,FINANCE - INVESTMENTS,NIFTY BANK
JMTAUTOLTD,JMT Auto Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
JOCIL,Jocil Limited,,,
JPASSOCIAT,Jaiprakash Associates Limited,CEMENT & CEMENT PRODUCTS,INFRASTRUCTURE - GENERAL,
JPINFRATEC,Jaypee Infratech Limited,CONSTRUCTION,INFRASTRUCTURE - GENERAL,NIFTY INFRA
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
JPPOWER,Jaiprakash Power Ventures Limited,ENERGY,,NIFTY ENERGY
JSL,Jindal Stainless Limited,METALS,,NIFTY METAL
JSLHISAR,Jindal Stainless (Hisar) Limited,METALS,STEEL - LARGE,NIFTY METAL
JSWENERGY,JSW Energy Limited,ENERGY,POWER - GENERATION & DISTRIBUTION,NIFTY ENERGY
JSWHL,JSW Holdings Limited,,,
JSWSTEEL,JSW Steel Limited,METALS,STEEL - LARGE,NIFTY METAL
JTEKTINDIA,,,,
