symbol,name,facev,marketcap_cr,vwap,outshares,dividend,exdate,recorddate
ELECTCAST,Electrosteel Castings Limited,1.00,302.09,21.59,139921259.84251967,DIVIDEND- RE 0.30 PER SHARE,06-SEP-18,-
ELECTHERM,Electrotherm (India) Limited,10.00,97.04,152.75,6352864.157119476,ANNUAL GENERAL MEETING,23-SEP-15,-
ELECTROSL,ELECTROSTEEL STEELS LIMITED,10.00,15.60,7.95,19622641.509433962,-,-,-
ELGIRUBCO,Elgi Rubber Company Limited,1.00,65.46,35.26,18564946.114577424,ANNUAL GENERAL MEETING,01-AUG-18,-
EMAMIINFRA,Emami Infrastructure Limited,2.00,236.08,168.43,14016505.373152051,ANNUAL GENERAL MEETING,13-SEP-17,-
EMAMILTD,Emami Limited,1.00,6916.82,566.34,122131934.88010734,ANNUAL GENERAL MEETING,25-JUL-18,-
EMCO,Emco Limited,2.00,45.01,12.05,37352697.09543568,ANNUAL GENERAL MEETING,15-SEP-17,-
EMKAY,Emkay Global Financial Services Limited,10.00,72.97,123.60,5903721.682847897,ANNUAL GENERAL MEETING\/FINAL DIVIDEND RS 1.50 PER SHARE\/SPECIAL DIVIDEND RE 0.50 PER SHARE,01-AUG-18,-
EMMBI,Emmbi Industries Limited,10.00,101.90,137.83,7393165.493724153,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.50 PER SHARE,13-SEP-17,-
ENDURANCE,Endurance Technologies Limited,10.00,3692.24,1529.82,24135127.00840622,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 4 PER SHARE (DATE REVISED),28-AUG-18,-
ENERGYDEV,Energy Development Company Limited,10.00,19.52,14.06,13883357.041251779,DIVIDEND- RE 0.50 PER SHARE,21-SEP-17,-
ENGINERSIN,Engineers India Limited,5.00,3788.44,125.08,302881355.9322034,ANNUAL GENERAL MEETING\/DIVIDEND RS 1.50 PER SHARE,11-SEP-18,-
ENIL,Entertainment Network (India) Limited,10.00,988.24,708.28,13952674.083695715,ANNUAL GENERAL MEETING\/DIVIDEND - RE 1\/- PER SHARE,22-AUG-17,-
EON,Eon Electric Limited,5.00,32.18,50.09,6424436.015172688,ANNUAL GENERAL MEETING,19-SEP-17,-
EQUITAS,Equitas Holdings Limited,10.00,4874.92,143.89,338794912.7805963,ANNUAL GENERAL MEETING,19-JUL-18,-
ERIS,Eris Lifesciences Limited,1.00,1938.60,676.69,28648273.21225376,ANNUAL GENERAL MEETING,20-SEP-17,-
EROSMEDIA,Eros International Media Limited,10.00,453.47,119.60,37915551.83946489,ANNUAL GENERAL MEETING,19-SEP-17,-
ESABINDIA,Esab India Limited,10.00,331.96,827.90,4009663.0027781134,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,01-AUG-18,-
ESCORTS,Escorts Limited,10.00,6285.05,902.75,69621157.5740792,DIVIDEND-RS 2 PER SHARE,23-AUG-18,-
ESSARSHPNG,Essar Shipping Limited,10.00,82.07,15.40,53292207.792207785,ANNUAL GENERAL MEETING,21-DEC-17,-
ESSDEE,Ess Dee Aluminium Limited,10.00,35.13,26.63,13191888.847164853,ANNUAL GENERAL MEETING,19-SEP-18,-
ESSELPACK,Essel Propack Limited,2.00,1444.96,109.94,131431690.01273422,BONUS 1:1,20-JUN-18,21-JUN-18
ESTER,Ester Industries Limited,5.00,113.71,50.61,22467891.721003756,ANNUAL GENERAL MEETING,24-AUG-17,-
EUROCERA,Euro Ceramics Limited,10.00,5.59,2.37,23586497.890295357,ANNUAL GENERAL MEETING,21-SEP-17,-
EUROTEXIND,Eurotex Industries and Exports Limited,10.00,5.57,21.95,2537585.4214123012,ANNUAL GENERAL MEETING,12-SEP-17,-
EVEREADY,Eveready Industries India Limited,5.00,1001.14,243.27,41153450.89817897,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.50 PER SHARE,26-JUL-18,-
EXCEL,Excel Realty N Infra Limited,10.00,36.21,6.94,52175792.50720461,BONUS 2:1,23-JAN-18,24-JAN-18
EXCELCROP,Excel Crop Care Limited,5.00,1722.87,4602.87,3743034.2373345327,ANNUAL GENERAL MEETING\/DIVIDEND- RS 8.75 PER SHARE,19-JUL-18,-
EXCELINDUS,Excel Industries Limited,5.00,1104.24,1757.66,6282443.703560416,ANNUAL GENERAL MEETING\/DIVIDEND- RS 12.5 PER SHARE,01-AUG-18,-
EXIDEIND,Exide Industries Limited,1.00,13574.93,296.36,458055405.5877986,ANNUAL GENERAL MEETING \/ DIVIDEND- RE 0.80 PER SHARE,25-JUL-18,-
FACT,Fertilizers and Chemicals Travancore Limited,10.00,136.28,39.42,34571283.6123795,ANNUAL GENERAL MEETING,14-SEP-18,-
FAIRCHEM,Fairchem Speciality Limited,10.00,366.65,390.17,9397185.84206884,ANNUAL GENERAL MEETING\/ DIVIDEND- RS 1.50 PER SHARE,02-AUG-18,-
FCSSOFT,FCS Software Solutions Limited,1.00,23.08,0.23,1003478260.8695651,ANNUAL GENERAL MEETING(BOOK CLOSURE DATES REVISED),20-SEP-17,-
FDC,FDC Limited,1.00,1301.07,240.74,54044612.44496137,ANNUAL GENERAL MEETING,30-AUG-18,-
FEDDERELEC,Fedders Electric and Engineering Limited,10.00,32.74,23.28,14063573.883161513,ANNUAL GENERAL MEETING\/DIVIDEND - RE 1\/- PER SHARE,14-SEP-17,-
FEDERALBNK,The Federal Bank  Limited,2.00,16096.64,82.12,1960136385.7769115,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,02-AUG-18,-
FEL,Future Enterprises Limited,2.00,726.57,37.52,193648720.68230277,ANNUAL GENERAL MEETING,20-AUG-18,22-AUG-18
FELDVR,Future Enterprises Limited,2.00,40.35,36.75,10979591.836734695,ANNUAL GENERAL MEETING,20-AUG-18,22-AUG-18
FIEMIND,Fiem Industries Limited,10.00,356.38,752.41,4736513.337143313,ANNUAL GENERAL MEETING\/DIVIDEND- RS 9 PER SHARE (DATE REVISED),07-SEP-18,-
FILATEX,Filatex India Limited,2.00,323.07,53.45,60443405.051449955,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10\/- PER SHARE TO RS 2\/- PER SHARE,27-JUN-18,28-JUN-18
FINCABLES,Finolex Cables Limited,2.00,4437.54,585.19,75830755.82289512,ANNUAL GENERAL MEETING\/DIVIDEND- RS 4 PER SHARE,12-SEP-18,-
FINEORG,Fine Organic Industries Limited,5.00,495.84,884.48,5606005.788712011,-,-,-
FINPIPE,Finolex Industries Limited,10.00,3561.61,615.00,57912357.72357724,DIVIDEND - RS 11.50 PER SHARE,27-JUL-17,-
FLEXITUFF,Flexituff International Limited,10.00,52.02,31.69,16415272.956768695,ANNUAL GENERAL MEETING,14-AUG-17,-
FLFL,Future Lifestyle Fashions Limited,2.00,3144.42,425.19,73953291.46969591,DIVIDEND RS - 1.2 PER SHARE,20-AUG-18,22-AUG-18
FMGOETZE,Federal-Mogul Goetze (India) Limited.,10.00,632.82,455.24,13900799.578244442,ANNUAL GENERAL MEETING,11-SEP-18,-
FMNL,Future Market Networks Limited,10.00,97.22,91.78,10592721.7258662,ANNUAL GENERAL MEETING,10-SEP-18,-
FORTIS,Fortis Healthcare Limited,10.00,5141.81,150.46,341739332.7130134,ANNUAL GENERAL MEETING,16-SEP-16,-
FOSECOIND,Foseco India Limited,10.00,130.46,1462.53,892015.8902723363,INTERIM DIVIDEND - RS 7 PER SHARE (PURPOSE REVISED),26-JUL-18,28-JUL-18
FRETAIL,Future Retail Limited,2.00,7591.60,516.89,146870707.50062877,ANNUAL GENERAL MEETING,20-AUG-18,22-AUG-18
FSC,Future Supply Chain Solutions Limited,10.00,421.51,619.99,6798658.04287166,DIVIDEND RE-1\/- PER SHARE,14-AUG-18,17-AUG-18
FSL,Firstsource Solutions Limited,10.00,2053.61,67.36,304870843.23040384,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.50 PER SHARE,26-JUL-18,-
GABRIEL,Gabriel India Limited,1.00,824.52,144.09,57222569.22756611,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.90 PER SHARE,31-JUL-18,-
GAEL,Gujarat Ambuja Exports Limited,2.00,881.75,215.98,40825539.40179647,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.90 PER SHARE,19-JUL-18,-
GAIL,GAIL (India) Limited,10.00,33253.05,381.83,870886258.2824818,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.44 PER SHARE,30-AUG-18,-
GAL,Gyscoal Alloys Limited,1.00,50.65,8.05,62919254.65838508,ANNUAL GENERAL MEETING,20-SEP-17,-
GALAXYSURF,Galaxy Surfactants Limited,10.00,586.53,1207.25,4858397.183681922,ANNUAL GENERAL MEETING\/DIVIDEND- RS 7 PER SHARE,01-AUG-18,-
GALLANTT,Gallantt Metal Limited,10.00,96.97,54.16,17904357.459379617,ANNUAL GENERAL MEETING,18-SEP-17,-
GALLISPAT,Gallantt Ispat Limited,1.00,269.71,40.24,67025347.91252484,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10\/- PER SHARE TO RE 1\/- PER SHARE,07-AUG-18,08-AUG-18
GAMMNINFRA,Gammon Infrastructure Projects Limited,2.00,39.56,1.00,395600000.0,ANNUAL GENERAL MEETING,28-SEP-16,-
GANDHITUBE,Gandhi Special Tubes Limited,5.00,146.55,394.36,3716147.6823207224,ANNUAL GENERAL MEETING\/DIVIDEND- RS 9 PER SHARE,02-AUG-18,-
GANECOS,Ganesha Ecosphere Limited,10.00,439.29,330.59,13288060.739889292,ANNUAL GENERAL MEETING\/ DIVIDEND- RS 1.20 PER SHARE,15-SEP-17,-
GANESHHOUC,Ganesh Housing Corporation Limited,10.00,208.69,96.83,21552204.895177115,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.80 PER SHARE,12-SEP-18,-
GANGESSECU,Ganges Securities Limited,10.00,22.71,51.82,4382477.8077962175,ANNUAL GENERAL MEETING,14-SEP-17,-
GANGOTRI,Gangotri Textiles Limited,5.00,2.99,1.95,15333333.333333334,ANNUAL GENERAL MEETING,19-SEP-18,-
GARDENSILK,Garden Silk Mills Limited,10.00,46.93,27.56,17028301.886792455,ANNUAL GENERAL MEETING,10-SEP-18,-
GATI,GATI Limited,2.00,793.52,103.43,76720487.2860872,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.80 PER SHARE,21-JUL-17,-
GAYAHWS,Gayatri Highways Limited,2.00,21.03,2.26,93053097.34513277,ANNUAL GENERAL MEETING,19-SEP-18,-
GAYAPROJ,Gayatri Projects Limited,2.00,2055.58,200.00,102778999.99999999,ANNUAL GENERAL MEETING,19-SEP-18,-
GDL,Gateway Distriparks Limited,10.00,1418.88,184.10,77071156.97990224,ANNUAL GENERAL MEETING,19-JUL-18,-
GEECEE,GeeCee Ventures Limited,10.00,89.69,130.03,6897639.0063831415,INTERIM DIVIDEND - RS 1.50 PER SHARE (PURPOSE REVISED),03-NOV-17,06-NOV-17
GEMINI,Gemini Communication Limited,1.00,3.04,0.55,55272727.272727266,ANNUAL GENERAL MEETING,21-SEP-17,-
GENESYS,Genesys International Corporation Limited,5.00,295.04,199.74,14771202.563332332,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.125 PER SHARE,19-SEP-17,-
GENUSPAPER,Genus Paper & Boards Limited,1.00,95.65,12.09,79114971.05045493,ANNUAL GENERAL MEETING,13-SEP-17,-
GENUSPOWER,Genus Power Infrastructures Limited,1.00,402.45,40.11,100336574.42034405,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.41 PER SHARE,12-SEP-18,-
GEOJITFSL,Geojit Financial Services Limited,1.00,590.53,73.41,80442718.9756164,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 2 PER SHARE,17-JUL-18,-
GEPIL,GE Power India Limited,10.00,1616.08,782.94,20641173.014534954,ANNUAL GENERAL MEETING\/DIVIDEND- RS 3 PER SHARE,12-JUL-18,-
GESHIP,The Great Eastern Shipping Company Limited,10.00,3097.71,289.55,106983595.23398377,ANNUAL GENERAL MEETING\/DIVIDEND- RS 7.20 PER SHARE,02-AUG-18,-
GHCL,GHCL Limited,10.00,1955.69,247.16,79126476.77617738,ANNUAL GENERAL MEETING\/DIVIDEND- RS 5 PER SHARE,23-MAY-18,-
GICHSGFIN,GIC Housing Finance Limited,10.00,1106.14,353.48,31292859.567726605,ANNUAL GENERAL MEETING\/DIVIDEND- RS 5.50 PER SHARE,20-JUL-18,-
GILLANDERS,Gillanders Arbuthnot & Company Limited,10.00,40.36,60.13,6712123.731914186,ANNUAL GENERAL MEETING,19-JUL-18,-
GILLETTE,Gillette India Limited,10.00,5340.23,6558.46,8142506.0151316,DIVIDEND - RS 10\/- PER SHARE,06-NOV-17,-
GINNIFILA,Ginni Filaments Limited,10.00,54.50,20.38,26741903.82728165,ANNUAL GENERAL MEETING,27-JUL-17,-
GIPCL,Gujarat Industries Power Company Limited,10.00,478.29,90.83,52657712.209622376,DIVIDEND - RS 2.70 PER SHARE,09-AUG-17,-
GITANJALI,Gitanjali Gems Limited,10.00,17.27,2.80,61678571.428571425,DIVIDEND - RE 0.80 PER SHARE,14-SEP-17,-
GKWLIMITED,GKW Limited,10.00,140.24,958.51,1463104.1929661664,ANNUAL GENERAL MEETING,31-JUL-18,-
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,10.00,7055.23,3330.09,21186304.27405866,DIVIDEND- RS 35 PER SHARE,13-JUL-18,-
GLENMARK,Glenmark Pharmaceuticals Limited,1.00,9509.83,626.63,151761486.04439622,ANNUAL GENERAL MEETING\/DIVIDEND - RS 2\/- PER SHARE,20-SEP-17,-
GLOBALVECT,Global Vectra Helicorp Limited,10.00,29.14,82.99,3511266.41764068,ANNUAL GENERAL MEETING,19-SEP-17,-
GLOBOFFS,Global Offshore Services Limited,10.00,17.56,17.77,9881823.29769274,ANNUAL GENERAL MEETING,05-SEP-18,-
GLOBUSSPR,Globus Spirits Limited,10.00,109.55,144.74,7568743.954677352,ANNUAL GENERAL MEETING,18-SEP-17,-
GMBREW,GM Breweries Limited,10.00,367.70,785.60,4680498.981670061,BONUS 1:4,21-MAY-18,22-MAY-18
GMDCLTD,Gujarat Mineral Development Corporation Limited,2.00,958.26,116.17,82487733.49401739,ANNUAL GENERAL MEETING\/ DIVIDEND- RS 3\/- PER SHARE,20-SEP-17,-
GMMPFAUDLR,GMM Pfaudler Limited,2.00,399.15,1089.93,3662161.79020671,INTERIM DIVIDEND- RE 1 PER SHARE,21-AUG-18,23-AUG-18
GMRINFRA,GMR Infrastructure Limited,1.00,4529.98,19.82,2285560040.3632693,ANNUAL GENERAL MEETING,20-SEP-17,-
GNA,GNA Axles Limited,10.00,262.44,363.92,7211475.04946142,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2 PER SHARE,06-SEP-18,07-SEP-18
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,10.00,3777.46,412.47,91581448.34775862,ANNUAL GENERAL MEETING\/DIVIDEND- RS  7.50 PER SHARE,23-AUG-18,-
GOACARBON,Goa Carbon Limited,10.00,282.40,788.62,3580938.855215439,ANNUAL GENERAL MEETING\/DIVIDEND- RS 10 PER SHARE,09-JUL-18,-
GOCLCORP,GOCL Corporation Limited,2.00,546.16,359.55,15190098.734529272,INTERIM DIVIDEND - RS 1.60 PER SHARE,05-APR-18,06-APR-18
GODFRYPHLP,Godfrey Phillips India Limited,2.00,1257.55,869.06,14470232.204911053,ANNUAL GENERAL MEETING\/DIVIDEND- RS 8 PER SHARE,17-SEP-18,-
GODREJAGRO,Godrej Agrovet Limited,10.00,1943.35,597.10,32546474.627365597,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 4.5 PER SHARE,23-JUL-18,-
GODREJCP,Godrej Consumer Products Limited,1.00,34883.22,1386.60,251573777.58546087,INTERIM DIVIDEND-RS 2\/- PER SHARE (PURPOSE REVISED),06-AUG-18,07-AUG-18
GODREJIND,Godrej Industries Limited,1.00,5210.55,619.62,84092669.70078436,DIVIDEND- RS 1.75 PER SHARE,02-AUG-18,-
GODREJPROP,Godrej Properties Limited,5.00,4694.14,708.60,66245272.36804968,ANNUAL GENERAL MEETING\/DIVIDEND -  RS 2\/- PER SHARE,27-JUL-15,-
GOENKA,Goenka Diamond and Jewels Limited,1.00,2.85,0.29,98275862.06896554,ANNUAL GENERAL MEETING,19-SEP-18,-
GOKEX,Gokaldas Exports Limited,5.00,239.52,84.29,28416182.228022303,ANNUAL GENERAL MEETING,19-SEP-17,-
GOKUL,Gokul Refoils and Solvent Limited,2.00,44.92,13.16,34133738.60182371,ANNUAL GENERAL MEETING,20-SEP-17,-
GOKULAGRO,Gokul Agro Resources Limited,2.00,51.46,14.56,35343406.593406595,ANNUAL GENERAL MEETING,07-SEP-17,-
GOLDENTOBC,Golden Tobacco Limited,10.00,45.02,32.91,13679732.604071712,ANNUAL GENERAL MEETING (BC DATES REVISED),11-JUL-17,-
GOLDIAM,Goldiam International Limited,10.00,59.95,73.82,8121105.391492821,ANNUAL GENERAL MEETING (PURPOSE REVISED),12-SEP-18,-
GOLDTECH,Goldstone Technologies Limited,10.00,31.83,22.30,14273542.60089686,ANNUAL GENERAL MEETING,19-SEP-18,-
GOODLUCK,Goodluck India Limited,2.00,73.21,80.71,9070747.11931607,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.75 PER SHARE,21-SEP-17,-
GPIL,Godawari Power And Ispat limited,10.00,586.85,478.51,12264111.51282105,ANNUAL GENERAL MEETING,19-JUL-18,-
GPPL,Gujarat Pipavav Port Limited,10.00,2974.68,108.06,275280399.7779012,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 1.70 PER SHARE,01-AUG-18,-
GPTINFRA,GPT Infraprojects Limited,10.00,40.15,139.24,2883510.485492674,INTERIM DIVIDEND RE 1\/- PER SHARE,20-FEB-18,21-FEB-18
GRANULES,Granules India Limited,1.00,1449.92,111.02,130599891.91136733,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.25 PER SHARE,29-AUG-18,-
GRAPHITE,Graphite India Limited,2.00,7189.97,1041.24,69051995.69743767,DIVIDEND- RS 12 PER SHARE,26-JUL-18,-
GRASIM,Grasim Industries Limited,2.00,42026.20,1051.60,399640547.7367821,ANNUAL GENERAL MEETING\/DIVIDEND - RS 5.50 PER SHARE,08-SEP-17,-
GRAVITA,Gravita India Limited,2.00,266.82,143.63,18576898.976536937,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.70 PER SHARE,23-AUG-18,-
GREAVESCOT,Greaves Cotton Limited,2.00,1770.39,147.60,119945121.95121953,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.5 PER SHARE,03-AUG-18,-
GREENLAM,Greenlam Industries Limited,5.00,1122.09,1027.49,10920690.225695627,ANNUAL GENERAL MEETING\/DIVIDEND RS 2.50 PER SHARE,20-AUG-18,-
GREENPLY,Greenply Industries Limited,1.00,1204.15,199.53,60349320.9041247,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.60 PER SHARE,11-JUL-18,-
GREENPOWER,Orient Green Power Company Limited,10.00,109.12,7.63,143014416.7758847,ANNUAL GENERAL MEETING,16-JUL-18,-
GRINDWELL,Grindwell Norton Limited,5.00,2324.90,547.20,42487207.60233918,ANNUAL GENERAL MEETING\/DIVIDEND- RS 5 PER SHARE,18-JUL-18,-
GROBTEA,The Grob Tea Company Limited,10.00,23.93,811.99,294708.06290717865,ANNUAL GENERAL MEETING\/DIVIDEND RS 2 PER SHARE,20-AUG-18,-
GRPLTD,GRP Limited,10.00,91.81,1190.27,771337.5956715704,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.25 PER SHARE,08-AUG-18,-
GRUH,Gruh Finance Limited,2.00,9899.67,321.47,307950041.99458736,BONUS 1:1,06-JUN-18,07-JUN-18
GSCLCEMENT,Gujarat Sidhee Cement Limited,10.00,71.28,29.47,24187309.127926707,ANNUAL GENERAL MEETING,30-JUL-18,-
GSFC,Gujarat State Fertilizers & Chemicals Limited,2.00,2632.46,115.70,227524632.6707001,ANNUAL GENERAL MEETING\/DIVIDEND - RS 2.20 PER SHARE,31-AUG-17,-
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,10.00,8372.30,7024.18,11919256.055511106,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 75 PER SHARE,31-JUL-18,-
GSPL,Gujarat State Petronet Limited,10.00,5449.56,189.88,287000210.6593638,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.50 PER SHARE,20-SEP-17,-
GSS,GSS Infotech Limited,10.00,69.61,87.79,7929149.105820708,ANNUAL GENERAL MEETING,27-AUG-18,-
GTL,GTL Limited,10.00,60.34,6.94,86945244.95677234,ANNUAL GENERAL MEETING,21-SEP-15,-
GTLINFRA,GTL Infrastructure Limited,10.00,1143.96,1.37,8350072992.700729,ANNUAL GENERAL MEETING,21-SEP-15,-
GTNIND,GTN Industries Limited,10.00,6.95,15.55,4469453.376205788,ANNUAL GENERAL MEETING,21-SEP-17,-
GTNTEX,GTN Textiles Limited,10.00,5.44,12.47,4362469.927826785,ANNUAL GENERAL MEETING,18-SEP-18,-
GTPL,GTPL Hathway Limited,10.00,239.12,86.54,27631153.223942686,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,17-SEP-18,-
GUFICBIO,Gufic Biosciences Limited,1.00,325.58,123.04,26461313.394018203,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.05 PER SHARE,28-AUG-17,-
GUJALKALI,Gujarat Alkalies and Chemicals Limited,10.00,1072.23,565.73,18953034.132890247,ANNUAL GENERAL MEETING\/DIVIDEND - RS 5\/- PER SHARE,31-AUG-17,-
GUJAPOLLO,Gujarat Apollo Industries Limited,10.00,93.63,180.50,5187257.617728531,DIVIDEND RS 3 PER SHARE,19-SEP-18,-
GUJFLUORO,Gujarat Fluorochemicals Limited,1.00,2840.63,812.51,34961169.70868051,ANNUAL GENERAL MEETING\/DIVIDEND- RS 3.50 PER SHARE,23-AUG-18,-
GUJGASLTD,Gujarat Gas Limited,10.00,2683.34,777.53,34511079.95832959,ANNUAL GENERAL MEETING\/DIVIDEND- RS 3 PER SHARE,20-SEP-17,-
GULFOILLUB,Gulf Oil Lubricants India Limited,2.00,1160.54,861.04,13478351.760661528,INTERIM DIVIDEND RS 4\/- PER SHARE,16-FEB-18,20-FEB-18
GULFPETRO,GP Petroleums Limited,5.00,121.20,84.57,14331323.16424264,DIVIDEND - RE 0.75 PER SHARE,13-SEP-17,-
GULPOLY,Gulshan Polyols Limited,1.00,98.38,58.51,16814219.791488633,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.30 PER SHARE,23-AUG-18,-
GVKPIL,GVK Power & Infrastructure Limited,1.00,868.09,11.86,731947723.440135,ANNUAL GENERAL MEETING,21-SEP-17,-
HAL,Hindustan Aeronautics Limited,10.00,3056.64,917.00,33333042.529989094,-,-,-
HANUNG,Hanung Toys and Textiles Limited,10.00,1.95,1.46,13356164.383561645,ANNUAL GENERAL MEETING,15-SEP-17,-
HARITASEAT,Harita Seating Systems Limited,10.00,145.55,645.12,2256169.39484127,INTERIM DIVIDEND RS 4\/- PER SHARE (PURPOSE REVISED),14-FEB-18,15-FEB-18
HARRMALAYA,Harrisons  Malayalam Limited,10.00,81.53,89.93,9065940.175692204,ANNUAL GENERAL MEETING,26-JUL-17,-
HATHWAY,Hathway Cable & Datacom Limited,2.00,915.99,19.58,467819203.26864153,ANNUAL GENERAL MEETING,11-AUG-16,-
HATSUN,Hatsun Agro Product Limited,1.00,2925.28,713.54,40996720.576281644,ANNUAL GENERAL MEETING,04-SEP-18,-
HAVELLS,Havells India Limited,1.00,17505.74,696.96,251172807.62167126,ANNUAL GENERAL MEETING\/DIVIDEND- RS 4 PER SHARE,04-JUL-18,-
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,2.00,7.98,0.81,98518518.51851851,ANNUAL GENERAL MEETING,25-SEP-18,-
HBLPOWER,HBL Power Systems Limited,1.00,275.93,33.18,83161543.09825195,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.25 PER SHARE,18-SEP-18,-
HCC,Hindustan Construction Company Limited,1.00,1125.95,15.82,711725663.7168142,ANNUAL GENERAL MEETING,04-JUL-18,-
HCG,Healthcare Global Enterprises Limited,10.00,1379.84,246.31,56020462.01940643,ANNUAL GENERAL MEETING,03-AUG-17,-
HCL-INSYS,HCL Infosystems Limited,2.00,382.41,35.30,108331444.75920682,ANNUAL GENERAL MEETING,19-SEP-18,-
HCLTECH,HCL Technologies Limited,2.00,55951.67,1003.97,557304202.3168023,INT DIV- 2 PER SHARE (PURPOSE REVISED),02-AUG-18,-
HDFC,Housing Development Finance Corporation Limited,2.00,308635.53,1916.41,1610487995.7837832,DIVIDEND- RS 16.50 PER SHARE,19-JUL-18,-
HDFCBANK,HDFC Bank Limited,2.00,431075.06,2102.14,2050648672.3053653,DIVIDEND- RS 13 PER SHARE,31-MAY-18,01-JUN-18
HDFCLIFE,HDFC Standard Life Insurance Company Limited,10.00,14881.72,463.22,321266784.681145,ANNUAL GENERAL MEETING,12-JUL-18,-
HDIL,Housing Development and Infrastructure Limited,10.00,898.56,32.90,273118541.0334346,ANNUAL GENERAL MEETING,21-SEP-17,-
HEG,HEG Limited,10.00,6535.33,4181.96,15627433.069661116,ANNUAL GENERAL MEETING\/DIVIDEND- RS 50 PER SHARE,13-JUL-18,-
HEIDELBERG,HeidelbergCement India Limited,10.00,1116.27,159.84,69836711.7117117,ANNUAL GENERAL MEETING\/DIVIDEND - RS 2\/- PER SHARE,14-SEP-17,-
HERCULES,Hercules Hoists Limited,1.00,85.16,116.39,7316779.792078357,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.25 PER SHARE,02-AUG-18,-
HERITGFOOD,Heritage Foods Limited,5.00,1369.67,600.93,22792504.95065981,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2 PER SHARE (PURPOSE REVISED),20-AUG-18,-
HEROMOTOCO,Hero MotoCorp Limited,2.00,43055.54,3322.07,129604553.78724709,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 40 PER SHARE,11-JUL-18,-
HESTERBIO,Hester Biosciences Limited,10.00,518.45,1330.91,3895454.9894433133,DIVIDEND- RS 6 PER SHARE,02-AUG-18,-
HEXATRADEX,Hexa Tradex Limited,2.00,92.48,30.79,30035725.88502761,ANNUAL GENERAL MEETING,18-SEP-18,-
HEXAWARE,Hexaware Technologies Limited,2.00,4227.22,496.38,85160965.3894194,INTERIM DIVIDEND- RS 2.50 PER SHARE,02-AUG-18,03-AUG-18
HFCL,Himachal Futuristic Communications Limited,1.00,1990.19,26.03,764575489.8194392,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.06 PER SHARE,19-SEP-18,-
HGINFRA,H.G. Infra Engineering Limited,10.00,281.42,241.51,11652519.56440727,-,-,-
HGS,Hinduja Global Solutions Limited,10.00,531.16,772.48,6876035.625517813,DIVIDEND RS 2.50 PER SHARE,23-AUG-18,24-AUG-18
HIGHGROUND,High Ground Enterprise Limited,1.00,73.89,13.09,56447669.977081746,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.10 PER SHARE,18-SEP-17,-
HIKAL,Hikal Limited,2.00,535.13,140.13,38188111.0397488,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.50 PER SHARE,31-JUL-18,-
HIL,HIL Limited,10.00,958.07,2173.86,4407229.536400688,ANNUAL GENERAL MEETING\/DIVIDEND- RS 12.50 PER SHARE,27-JUL-18,-
HILTON,Hilton Metal Forging Limited,10.00,14.21,24.39,5826158.261582616,ANNUAL GENERAL MEETING,14-SEP-17,-
